deer_id,mae_interpolation,mae_csdi,num_eval_points,crps,mae_interpolation_total,mae_csdi_total,mae_total_diff
6819,127.688756,112.026551,1152,3.8e-05,147097.44691199998,129054.586752,18042.860159999982
6847,157.981623,115.900708,2448,3.9e-05,386739.013104,283724.93318399996,103014.07992000005
6855,126.604273,103.052453,690,3.5e-05,87356.94837,71106.19257,16250.755799999999
6870,117.814837,98.211579,2390,3.4e-05,281577.46043,234725.67381,46851.78661999997
6874,121.996269,121.243895,288,4.3e-05,35134.925472,34918.24176,216.68371200000547
6903,121.437936,109.613099,1728,3.7e-05,209844.753408,189411.43507200002,20433.318335999968
6911,119.396347,116.617219,402,4.1e-05,47997.331494000005,46880.122038,1117.2094560000041
6965,112.097883,91.043857,806,3.1e-05,90350.893698,73381.348742,16969.544955999998
6981,155.944462,131.712111,518,4.4e-05,80779.23131599999,68226.873498,12552.35781799999
7029,209.207349,407.550167,56,0.000136,11715.611544,22822.809352,-11107.197808
7098,198.456227,145.151882,604,4.8e-05,119867.56110800001,87671.736728,32195.824380000005
7175,130.754338,113.841207,1842,3.9e-05,240849.490596,209695.503294,31153.987301999994
7179,128.672237,103.87868,1842,3.5e-05,237014.26055399998,191344.52856,45669.73199399997
7195,39.22403,31.309838,56,1e-05,2196.54568,1753.3509279999998,443.19475200000034
7258,156.458318,139.141886,1122,4.7e-05,175546.232796,156117.196092,19429.036704
7266,135.547192,129.737484,1440,4.5e-05,195187.95648,186821.97696,8365.979519999993
7733,111.113687,100.912111,546,3.3e-05,60668.073102,55098.012606,5570.0604960000055
7768,135.78641,129.071046,1152,4.4e-05,156425.94431999998,148689.844992,7736.099327999982
7777,109.389941,94.2684,834,3.1e-05,91231.210794,78619.8456,12611.365193999998
7779,99.828681,88.364978,662,3e-05,66086.586822,58497.61543599999,7588.971386000005
7826,164.099911,129.895337,1554,4.3e-05,255011.261694,201857.35369800002,53153.907995999965
7914,134.968069,106.195097,316,3.8e-05,42649.909804,33557.650652000004,9092.259151999999
7934,69.208985,75.800158,86,2.5e-05,5951.97271,6518.813588,-566.840878
7948,166.188055,147.742609,1584,5.2e-05,263241.87912,234024.29265599998,29217.58646400002
7952,118.60933,110.666375,1094,3.8e-05,129758.60702,121069.01425000001,8689.592769999988
7977,112.230072,98.158874,1036,3.3e-05,116270.354592,101692.59346399999,14577.761128000013
8143,111.598347,83.909585,432,2.8e-05,48210.485904,36248.940720000006,11961.545183999995
8165,110.650763,91.136228,1266,3.1e-05,140083.865958,115378.46464800001,24705.40131
8177,122.668857,108.072691,546,3.7e-05,66977.195922,59007.689286,7969.506635999998
8185,122.106797,104.398019,1554,3.6e-05,189753.962538,162234.521526,27519.441011999996
8197,200.768661,187.953879,1814,6.5e-05,364194.351054,340948.336506,23246.014548000006
